id,name,picture,pirce,aclass,bclass,cclass,overlap,weight,lvl,d2,e2,a1,a2,d1,e1,job,b2,c2,c1,b1,need,present,hp,mp,met,f1,exp,fj
284,狂战手镯,678,50000,装备,,,,1,37,,1,2,3,,,,,,,,,,,,,,,
285,狂战戒指,672,50000,装备,,,,1,37,1,,,7,,,,,,,,,,,,,,,
286,魔鬼戒指,512,50000,装备,,,,1,20,3,3,,,,1,,,,,,2,,,,,,,
287,魔鬼手镯,517,50000,装备,,,,1,33,2,,,,,,,3,,,1,,,,,,,,
288,天魔戒指,673,50000,装备,,,,1,32,,,,,,,,7,,,,2,,,,,,,
289,天魔手镯,679,50000,装备,,,,1,35,,2,,,,,,5,,,1,,,,,,,,
290,天魔项链,684,50000,装备,,,,1,40,,3,,,,,,9,,,,,,,,,,,
291,混世戒指,674,50000,装备,,,,1,37,1,,,,,,,6,,,,,,,,,,,
292,混世手镯,680,50000,装备,,,,1,37,2,,,,,,,4,,,2,,,,,,,,
293,雪玉戒指,514,50000,装备,,,,1,20,1,2,,,,,,,5,1,,3,,,,,,,
294,雪玉手镯,518,50000,装备,,,,1,33,2,,,,,,,,3,,,,,,,,,,
295,太极戒指,676,50000,装备,,,,1,30,,,,2,,,,,7,2,,3,,,,,,,
296,太极手镯,682,50000,装备,,,,2,37,3,,,,1,,,,4,2,,,,,,,,,
297,五玄戒指,532,20000,装备,,,,1,35,,1,,,,,,,,,5,,,,,,,,
298,五玄手镯,533,20000,装备,,,,1,33,2,2,,,,,,,,,,,,,,,,,
299,五玄项链,534,20000,装备,,,,1,35,,,,,,,,5,,,,,,,,,,,
300,破甲项链,541,20000,装备,,,,1,33,,,,5,,,,,,,,,,,,,,,
301,破甲手镯,542,20000,装备,,,,2,33,2,,,,,,,,,,,,,,,,,,
302,破甲戒指,543,20000,装备,,,,1,33,,,2,3,,,,,,,,,,,,,,,
303,灵玉项链,438,50000,装备,,,,1,33,,,,,,,,,5,,,,,,,,,,
304,灵玉手镯,437,50000,装备,,,,3,33,,,1,1,,,,,3,,,,,,,,,,
305,灵玉戒指,439,50000,装备,,,,2,33,,1,1,,,,,,,5,,,,,,,,,
306,无心宝石,581,5000,,,,,1,30,6,,,,1,,,,,,,,,,,,,,
307,魔法宝石,582,5000,,,,,1,32,,6,,,,1,,,,,,,,,,,,,
308,战神宝石,583,5000,,,,,1,34,,,1,6,,,,,,,,,,,,,,,
309,魔神宝石,584,5000,,,,,1,35,,,,,,,,6,,,1,,,,,,,,
310,道仙宝石,585,5000,,,,,1,38,,,,,,,,,6,1,,,,,,,,,
311,无敌宝石,586,5000,,,,,1,40,7,,,,1,,,,,,,,,,,,,,
312,法圣宝石,587,5000,,,,,1,42,,7,,,,1,,,,,,,,,,,,,
313,武神宝石,588,5000,,,,,1,43,,,1,7,,,,,,,,,,,,,,,
314,魔圣宝石,589,5000,,,,,1,45,,,,,,,,7,,,1,,,,,,,,
315,七星宝石,590,5000,,,,,1,48,,,,,,,,,7,1,,,,,,,,,
316,会员龙珠,2598,50000,装备,杂物,,,1,1,,,,,,,,,,,,,,50,25,,1,,
317,超级会员龙珠,2597,50000,装备,杂物,,,1,1,,,,,,,,,,,,,,100,50,,1,,
318,至尊会员龙珠,2599,50000,装备,杂物,,,1,1,,,,,,,,,,,,,,200,100,,1,,
319,BOSS卷轴,1123,5000,消耗,属性,BOSS卷,9999999,1,1,,,,,,,,,,,,,增加BOSS挑战次数1次,101,1,,,,
320,战书,2371,5000,消耗,属性,竞技场,9999999,1,1,,,,,,,,,,,,,增加竞技场挑战次数1次,102,1,,,,
321,会员(月),2611,50000,消耗,VIP,1,9999999,1,1,,,,,,,,,,,,,会员详情点击<br>每日福利-终身会员详情查看,1,30,,,,
322,会员(周),1134,50000,消耗,VIP,1,9999999,1,1,,,,,,,,,,,,,会员详情点击<br>每日福利-终身会员详情查看,1,7,,,,
323,会员(终身),2615,50000,消耗,VIP,1,9999999,1,1,,,,,,,,,,,,,<黄>累计充值满200元可买<br>只可以买一次<br><绿>赠送20张幻境重置卷<br>赠送2000张BOSS挑战卷<br>赠送20W书籍包(六种)<br>赠送20000黑铁矿石<br>,1,-1,,,,
324,超级会员(月),2611,50000,消耗,VIP,2,9999999,1,1,,,,,,,,,,,,,会员详情点击<br>每日福利-终身会员详情查看,2,30,,,,
325,超级会员(周),1134,50000,消耗,VIP,2,9999999,1,1,,,,,,,,,,,,,会员详情点击<br>每日福利-终身会员详情查看,2,7,,,,
326,超级会员(终身),2615,50000,消耗,VIP,2,9999999,1,1,,,,,,,,,,,,,<黄>累计充值满500元可买<br>只可以买一次<br><绿>赠送50张幻境重置卷<br>赠送5000张BOSS挑战卷<br>赠送50W书籍包(六种)<br>赠送50000黑铁矿石<br>,2,-1,,,,
327,至尊会员(月),2611,50000,消耗,VIP,3,9999999,1,1,,,,,,,,,,,,,会员详情点击<br>每日福利-终身会员详情查看,3,30,,,,
328,至尊会员(周),1134,50000,消耗,VIP,3,9999999,1,1,,,,,,,,,,,,,会员详情点击<br>每日福利-终身会员详情查看,3,7,,,,
329,至尊会员(终身),2615,50000,消耗,VIP,3,9999999,1,1,,,,,,,,,,,,,会员详情点击<br>每日福利-终身会员详情查看,3,-1,,,,
330,沃玛号角,262,5000,道具,行会,,,1,30,,,,,,,,,,,,,组建行会的必备道具,,,,,,
331,祖玛头像,272,5000,道具,行会,,,1,1,,,,,,,,,,,,,申请行会战的必备道具,,,,,,
332,紫宝矿石,284,5000,道具,任务,矿,9999999,4,,,,,,,,,,,,,,,,,,,,
333,1元宝,1121,5000,消耗,属性,,9999999,1,,,,,,,,,,,,,,使用后获得元宝,2,1,,,,
334,10元宝,1121,5000,消耗,属性,,9999999,1,,,,,,,,,,,,,,使用后获得元宝,2,10,,,,
335,100元宝,1121,5000,消耗,属性,,9999999,1,,,,,,,,,,,,,,使用后获得元宝,2,100,,,,
336,1000元宝,1121,5000,消耗,属性,,9999999,1,,,,,,,,,,,,,,使用后获得元宝,2,1000,,,,
337,幸运龙珠,2614,50000,装备,杂物,,,1,1,,,,,,,,,,,,,,,,,1,,
338,幸运雪莲,2620,50000,装备,杂物,,,1,1,,,,,,,,,,,,,,,,,1,500,
339,物资(千),461,1000,道具,任务,,9999999,1,1,,,,,,,,,,,,,增加行会物资1000点,,,,,,
340,物资(捆),462,100000,消耗,宝箱,,9999999,1,1,,,,,,,,,,,,,339|1000/,,,,,,
341,城主战袍(男),1401,40000,装备,衣服,1,,23,1,8,5,1,2,5,3,,4,4,1,1,,,,,,,,
342,城主战袍(女),1402,40000,装备,衣服,2,,23,1,8,5,1,2,5,3,,4,4,1,1,,,,,,,,
343,城主战袍(男),2591,100000,装备,衣服,1,,23,,18,19,1,10,12,11,,10,10,1,1,,新战袍,,,3,,,
344,城主战袍(女),2592,100000,装备,衣服,2,,23,,18,19,1,10,12,11,,10,10,1,1,,新战袍,,,3,,,
345,超级祝福油,2610,10000,消耗,祝福油,,9999999,1,1,,,,,,,,,,,,,100%为武器增加1点幸运,1,,,,,
346,国庆礼包,1031,10000,消耗,宝箱,,9999999,1,1,,,,,,,,,,,,,223|1500/225|10/,,,,,,
347,符文,1191,100000,装备,宝石,,,1,1,,,,,,,,,,,,,,,,1,,,
348,一转证明,2232,10000,道具,转生,,9999999,1,,,,,,,,,,,,,,转生的必备道具,,,,,,
349,二转证明,2233,10000,道具,转生,,9999999,1,,,,,,,,,,,,,,转生的必备道具,,,,,,
350,三转证明,2234,10000,道具,转生,,9999999,1,,,,,,,,,,,,,,转生的必备道具,,,,,,
351,四转证明,2231,10000,道具,转生,,9999999,1,,,,,,,,,,,,,,转生的必备道具,,,,,,
352,五转证明,1124,10000,道具,转生,,9999999,1,,,,,,,,,,,,,,转生的必备道具,,,,,,
353,返璞归真,1145,10000,消耗,重置书,,9999999,1,,,,,,,,,,,,,,使用后可以将满等级技能归零,,,,,,
354,吞噬灵石(小),1029,10000,道具,吞噬,,9999999,1,,,,,,,,,,,,,,,,,,,100,
355,吞噬灵石(中),1028,10000,道具,吞噬,,9999999,1,,,,,,,,,,,,,,,,,,,500,
356,吞噬灵石(大),1027,10000,道具,吞噬,,9999999,1,,,,,,,,,,,,,,,,,,,1000,
357,星王头盔,106,50000,装备,头盔,,,1,,8,7,1,4,5,4,,4,4,1,1,,,,,3,,,
358,星王项链,1224,50000,装备,项链,,,1,,3,3,3,13,,,,13,13,3,3,,,,,3,,,
359,星王护腕,1223,50000,装备,手镯,,,1,,3,3,2,8,,,,8,8,2,2,,,,,3,,,
360,星王戒指,1222,50000,装备,戒指,,,1,,2,2,3,15,,,,15,15,3,3,,,,,3,,,
361,星王腰带,556,50000,装备,腰带,,,1,,5,3,1,2,1,,,2,2,1,1,,,,,3,,,
362,星王之靴,566,50000,装备,靴子,,,1,,3,5,1,2,1,1,,2,2,1,1,,,,,3,,,
363,黄金裁决,1688,50000,装备,武器,,,80,,,,8,39,,,,,,,,,,,,3,,,
364,黄金嗜魂法杖,1781,50000,装备,武器,,,35,,,,,,,,,39,,,8,,,,,3,,,
365,黄金逍遥扇,1782,50000,装备,武器,,,35,,,,,,,,,,39,8,,,,,,3,,,
366,黄金屠龙,1788,50000,装备,武器,,,30,,,,10,40,,,,,,,,,,,,3,,,
367,狂雷战盔,1266,100000,装备,头盔,,,1,,10,10,2,5,5,5,,,,,,,,,,4,,,
368,狂雷项链,1263,100000,装备,项链,,,1,,5,,5,18,,,,,,,,,,,,4,,,
369,狂雷战戒,1261,100000,装备,戒指,,,1,,5,5,6,20,,,,,,,,,,,,4,,,
370,狂雷护腕,1262,100000,装备,手镯,,,1,,5,,3,10,,,,,,,,,,,,4,,,
371,狂雷腰带,1265,100000,装备,腰带,,,1,,5,7,1,4,1,2,,,,,,,,,,4,,,
372,狂雷战靴,1264,100000,装备,靴子,,,1,,7,5,1,4,1,1,,,,,,,,,,4,,,
373,逆火魔盔,1246,100000,装备,头盔,,,1,,10,10,,,5,5,,5,,,2,,,,,4,,,
374,逆火项链,1243,100000,装备,项链,,,1,,5,,,,,,,18,,,5,,,,,4,,,
375,逆火魔戒,1241,100000,装备,戒指,,,1,,5,5,,,,,,20,,,6,,,,,4,,,
376,逆火护腕,1242,100000,装备,手镯,,,1,,5,,,,,,,10,,,3,,,,,4,,,
377,逆火腰带,1245,100000,装备,腰带,,,1,,5,7,,,1,2,,4,,,1,,,,,4,,,
378,逆火魔靴,1244,100000,装备,靴子,,,1,,7,5,,,1,1,,4,,,1,,,,,4,,,
379,通云道盔,1256,100000,装备,头盔,,,1,,10,10,,,5,5,,,5,2,,,,,,4,,,
380,通云项链,1253,100000,装备,项链,,,1,,5,,,,,,,,18,5,,,,,,4,,,
381,通云道戒,1251,100000,装备,戒指,,,1,,5,5,,,,,,,20,6,,,,,,4,,,
382,通云护腕,1252,100000,装备,手镯,,,1,,5,,,,,,,,10,3,,,,,,4,,,
383,通云腰带,1255,100000,装备,腰带,,,1,,5,7,,,1,2,,,4,1,,,,,,4,,,
384,通云道靴,1254,100000,装备,靴子,,,1,,7,5,,,1,1,,,4,1,,,,,,4,,,
385,王者戒指,1365,150000,装备,戒指,,,1,,8,8,8,22,,,,22,22,8,8,,,,,5,,,
386,王者护腕,1366,150000,装备,手镯,,,1,,6,6,5,12,,,,12,12,5,5,,,,,5,,,
387,王者项链,1367,150000,装备,项链,,,1,,7,8,8,23,1,,,23,23,8,8,,,,,5,,,
388,王者之靴,1368,150000,装备,靴子,,,1,,8,9,2,6,2,2,,6,6,2,2,,,,,5,,,
389,王者腰带,1369,150000,装备,腰带,,,1,,10,8,3,5,2,1,,5,5,3,3,,,,,5,,,
390,王者头盔,1370,150000,装备,头盔,,,1,,13,12,3,8,6,7,,8,8,3,3,,,,,5,,,
391,王者战甲(男),1397,150000,装备,衣服,1,,1,,18,19,6,10,12,11,1,,,,,,,,,5,,,
392,王者战甲(女),1398,150000,装备,衣服,2,,1,,18,19,6,10,12,11,1,,,,,,,,,5,,,
393,王者魔衣(男),1395,150000,装备,衣服,1,,1,,18,19,,,12,11,2,10,,,6,,,,,5,,,
394,王者魔衣(女),1396,150000,装备,衣服,2,,1,,18,19,,,12,11,2,10,,,6,,,,,5,,,
395,王者道袍(男),1399,150000,装备,衣服,1,,1,,18,19,,,12,11,3,,10,6,,,,,,5,,,
396,王者道袍(女),1400,150000,装备,衣服,2,,1,,18,19,,,12,11,3,,10,6,,,,,,5,,,
397,王者之刃,1421,150000,装备,武器,,,50,,,,12,42,,,,,,,,,,,,5,,,
398,王者之杖,1411,150000,装备,武器,,,20,,,,,,,,,42,,,12,,,,,5,,,
399,王者之剑,1422,150000,装备,武器,,,30,,,,,,,,,,42,12,,,,,,5,,,
400,双十一礼包,1031,10000,消耗,宝箱,,9999999,1,1,,,,,,,,,,,,,223|1500/356|1/,,,,,,
401,灵石礼包,1031,10000,消耗,宝箱,,9999999,1,1,,,,,,,,,,,,,356|10/,,,,,,
402,金砖礼包,1031,10000,消耗,宝箱,,9999999,1,1,,,,,,,,,,,,,225|100/,,,,,,
403,物资礼包,1031,10000,消耗,宝箱,,9999999,1,1,,,,,,,,,,,,,340|100/,,,,,,
404,书籍包,1132,60000,消耗,宝箱,,9999999,1,,,,,,,,,,,,,,234|1/235|1/236|1/237|1/238|1/239|1/,,,,,,
405,双十二礼包,1031,100000,消耗,宝箱,,9999999,1,,,,,,,,,,,,,,225|10/404|2000/356|1/,,,,,,
406,小书籍包,1132,30000,消耗,宝箱,,9999999,1,,,,,,,,,,,,,,234|1/235|1/236|1/,,,,,,
407,防御心法,1145,1000,消耗,技能,,9999999,1,5,,,,,,,,,,,,,提升角色防御下限,7,1,,,,
408,魔防心法,1145,1000,消耗,技能,,9999999,1,5,,,,,,,,,,,,,提升角色魔防下限,8,1,,,,
409,未使用,831,50000,消耗,藏宝箱,,9999999,1,,,,,,,,,,,,,,,,,,,,
410,未使用,1135,100000,消耗,藏宝箱,,9999999,1,,,,,,,,,,,,,,,,,,,,
411,圣诞礼包,1031,100000,消耗,宝箱,,9999999,1,,,,,,,,,,,,,,225|10/412|5000/404|2000/,,,,,,
412,心法书籍包,1132,50000,消耗,宝箱,,9999999,1,,,,,,,,,,,,,,407|1/408|1/,,,,,,
413,元旦礼包,1031,50000,消耗,宝箱,,9999999,1,,,,,,,,,,,,,,223|1000/356|1/225|5/,,,,,,
414,新年礼物,859,50000,消耗,宝箱,,9999999,1,,,,,,,,,,,,,,3|1000000/4|150000/5|50000/,,,,,,
415,会员升级卡,1134,50000,消耗,VIP2,,,1,1,,,,,,,,,,,,,<黄>累计充值满500元可买<br>用于终身会员升级超级终身<br><绿>赠送30张幻境重置卷<br>赠送3000张BOSS挑战卷<br>赠送30W书籍包(六种)<br>赠送30000黑铁矿石<br>,2,,,,,
416,恭喜发财,1018,50000,消耗,红包,,9999999,1,,,,,,,,,,,,,,把100红包转成100元宝,100,,,,,
417,财源广进,1018,50000,消耗,红包,,9999999,1,,,,,,,,,,,,,,,1000,,,,,
418,财神赐福,1018,50000,消耗,红包,,9999999,1,,,,,,,,,,,,,,把10000红包转成10000元宝,10000,,,,,
419,100红包,1019,50000,消耗,宝箱,,9999999,1,,,,,,,,,,,,,,7|100/,,,,,,
420,1000红包,1019,50000,消耗,宝箱,,9999999,1,,,,,,,,,,,,,,7|1000/,,,,,,
421,10000红包,1019,50000,消耗,宝箱,,9999999,1,,,,,,,,,,,,,,7|10000/,,,,,,
422,天龙戒指,825,150000,装备,戒指,,,1,,9,9,8,25,,,,25,25,8,8,,,,,6,,,
423,天龙护腕,827,150000,装备,手镯,,,1,,8,8,5,15,,,,15,15,5,5,,,,,6,,,
424,天龙项链,824,150000,装备,项链,,,1,,8,9,8,26,1,,,26,26,8,8,,,,,6,,,
425,天龙头盔,828,150000,装备,头盔,,,1,,15,13,3,11,6,7,,11,11,3,3,,,,,6,,,
426,天龙腰带,826,150000,装备,腰带,,,1,,10,11,3,8,2,1,,8,8,3,3,,,,,6,,,
427,天龙战靴,822,150000,装备,靴子,,,1,,10,11,3,9,2,2,,9,9,3,3,,,,,6,,,
428,天龙圣剑,829,150000,装备,武器,,,1,,,,15,45,,,,45,45,15,15,,,,,6,,,
429,天龙圣袍,600,150000,装备,衣服,1,,1,,22,20,6,13,13,15,,13,13,6,6,,,,,6,,,
430,天龙圣衣,601,150000,装备,衣服,2,,1,,22,20,6,13,13,15,,13,13,6,6,,,,,6,,,
431,金牛戒指,1681,200000,装备,戒指,,,1,,10,10,10,28,,,,28,28,10,10,,,,,7,,,
432,金牛护腕,1682,200000,装备,手镯,,,1,,9,9,6,18,,,,18,18,6,6,,,,,7,,,
433,金牛项链,1683,200000,装备,项链,,,1,,10,11,8,29,1,,,29,29,8,8,,,,,7,,,
434,金牛头盔,1686,200000,装备,头盔,,,1,,18,17,5,13,6,8,,13,13,5,5,,,,,7,,,
435,金牛腰带,1685,200000,装备,腰带,,,1,,15,12,5,10,2,2,,10,10,5,5,,,,,7,,,
436,金牛战靴,1684,200000,装备,靴子,,,1,,12,15,7,9,2,2,,9,9,7,7,,,,,7,,,
437,金牛圣刃,2181,200000,装备,武器,,,1,,,,18,52,,,,52,52,18,18,,,,,7,,,
438,金牛圣袍,2463,200000,装备,衣服,1,,1,,25,25,7,17,15,15,,17,17,7,7,,,,,7,,,
439,金牛圣衣,2464,200000,装备,衣服,2,,1,,25,25,7,17,15,15,,17,17,7,7,,,,,7,,,
440,六转证明,276,10000,道具,转生,,9999999,1,,,,,,,,,,,,,,转生的必备道具,,,,,,
441,七转证明,273,10000,道具,转生,,9999999,1,,,,,,,,,,,,,,转生的必备道具,,,,,,
442,八转证明,277,10000,道具,转生,,9999999,1,,,,,,,,,,,,,,转生的必备道具,,,,,,
443,九转证明,274,10000,道具,转生,,9999999,1,,,,,,,,,,,,,,转生的必备道具,,,,,,
444,十转证明,275,10000,道具,转生,,9999999,1,,,,,,,,,,,,,,转生的必备道具,,,,,,
445,新春大礼包,1031,50000,消耗,宝箱,,9999999,1,,,,,,,,,,,,,,225|50/412|2000/406|3000/,,,,,,
446,转换石,2571,50000,道具,转换石,,9999999,1,,,,,,,,,,,,,,可以转换武器天赋的石头,,,,,,
447,铁锹,2382,100000,装备,武器,,,50,35,,,5,35,,,,,,,,,,,,,,,
448,劳动衣(男),2341,100000,装备,衣服,1,,20,35,2,1,,,5,5,,,,,,,,,,,,,
449,劳动衣(女),2345,100000,装备,衣服,2,,20,35,2,1,,,5,5,,,,,,,,,,,,,
450,主宰戒指,2411,250000,装备,戒指,,,1,,10,10,10,32,,,,32,32,10,10,,,,,8,,,
451,主宰护腕,2412,250000,装备,手镯,,,1,,10,10,5,21,,,,21,21,5,5,,,,,8,,,
452,主宰项链,2413,250000,装备,项链,,,1,,10,11,9,31,2,1,,31,31,9,9,,,,,8,,,
453,主宰头盔,2416,250000,装备,头盔,,,1,,22,20,5,15,6,8,,15,15,5,5,,,,,8,,,
454,主宰腰带,2415,250000,装备,腰带,,,1,,15,12,5,12,5,5,,12,12,5,5,,,,,8,,,
455,主宰战靴,2414,250000,装备,靴子,,,1,,12,15,7,11,5,5,,11,11,7,7,,,,,8,,,
456,主宰神剑,2424,250000,装备,武器,,,1,,,,20,60,,,,60,60,20,20,,,,,8,,,
457,主宰圣袍,2421,250000,装备,衣服,1,,1,,28,29,5,20,17,18,,20,20,5,5,,,,,8,,,
458,主宰圣衣,2422,250000,装备,衣服,2,,1,,28,29,5,20,17,18,,20,20,5,5,,,,,8,,,
459,荣耀戒指,2511,300000,装备,戒指,,,1,,10,10,10,35,1,1,,35,35,10,10,,,,,9,,,
460,荣耀护腕,2512,300000,装备,手镯,,,1,,10,10,7,24,1,1,,24,24,7,7,,,,,9,,,
461,荣耀项链,2513,300000,装备,项链,,,1,,12,12,9,34,2,2,,34,34,9,9,,,,,9,,,
462,荣耀头盔,2516,300000,装备,头盔,,,1,,23,23,6,17,6,8,,17,17,6,6,,,,,9,,,
463,荣耀腰带,2515,300000,装备,腰带,,,1,,15,12,5,14,7,7,,14,14,5,5,,,,,9,,,
464,荣耀战靴,2514,300000,装备,靴子,,,1,,12,15,7,13,7,7,,13,13,7,7,,,,,9,,,
465,荣耀神剑,2524,300000,装备,武器,,,1,,,,23,75,,,,75,75,23,23,,,,,9,,,
466,荣耀圣袍,2541,300000,装备,衣服,1,,1,,32,32,5,22,19,18,,22,22,5,5,,,,,9,,,
467,荣耀圣衣,2543,300000,装备,衣服,2,,1,,32,32,5,22,19,18,,22,22,5,5,,,,,9,,,
468,主宰斗笠,2423,250000,装备,头盔,,,1,,25,25,7,20,8,8,,20,20,7,7,,,,,8,,,
469,荣耀斗笠,2523,300000,装备,头盔,,,1,,28,28,8,22,9,9,,22,22,8,8,,,,,9,,,
470,劳动节礼包,1030,50000,消耗,宝箱,,9999999,1,,,,,,,,,,,,,,319|1500/420|30/416|5/,,,,,,
471,粽子,1342,10000,消耗,藏宝箱,,9999999,1,,,,,,,,,,,,,,501|1|1|10/502|1|1|20/503|1|1|30/504|1|1|40/224|1|1|20/571|1|1|2/217|1|1|10/570|1|1|200/689|1|1|1000/1|10000|1|1/4|2000|1|1/,,,,,,
472,月饼,1331,10000,消耗,藏宝箱,,9999999,1,,,,,,,,,,,,,,501|1|1|10/502|1|1|20/503|1|1|30/504|1|1|40/224|1|1|20/571|1|1|2/217|1|1|10/570|1|1|200/689|1|1|1000/1|10000|1|1/4|2000|1|1/,,,,,,
473,巧克力,846,10000,消耗,藏宝箱,,9999999,1,,,,,,,,,,,,,,501|1|1|10/502|1|1|20/503|1|1|30/504|1|1|40/224|1|1|20/571|1|1|2/217|1|1|10/570|1|1|200/689|1|1|1000/1|10000|1|1/4|2000|1|1/,,,,,,
474,棒棒糖,848,10000,消耗,藏宝箱,,9999999,1,,,,,,,,,,,,,,501|1|1|10/502|1|1|20/503|1|1|30/504|1|1|40/224|1|1|20/571|1|1|2/217|1|1|10/570|1|1|200/689|1|1|1000/1|10000|1|1/4|2000|1|1/,,,,,,
475,西瓜,1058,10000,消耗,藏宝箱,,9999999,1,,,,,,,,,,,,,,501|1|1|10/502|1|1|20/503|1|1|30/504|1|1|40/224|1|1|20/571|1|1|2/217|1|1|10/570|1|1|200/689|1|1|1000/1|10000|1|1/4|2000|1|1/,,,,,,
476,南瓜头,1086,10000,消耗,藏宝箱,,9999999,1,,,,,,,,,,,,,,501|1|1|10/502|1|1|20/503|1|1|30/504|1|1|40/224|1|1|20/571|1|1|2/217|1|1|10/570|1|1|200/689|1|1|1000/1|10000|1|1/4|2000|1|1/,,,,,,
477,端午节礼包,1030,50000,消耗,宝箱,,9999999,1,,,,,,,,,,,,,,471|10/319|1500/,,,,,,
478,寻宝图,1521,10000,道具,任务,,9999999,1,,,,,,,,,,,,,,记录了宝藏位置的图鉴<br>寻宝必备道具,,,,,,
479,隐身戒指(未解封),1776,100000,装备,戒指,,,1,,,,,1,,,,,,,,,,,,,,,
480,复活戒指(未解封),1778,100000,装备,戒指,,,1,,,,,1,,,,,,,,,,,,,,,
481,麻痹戒指(未解封),1777,100000,装备,戒指,,,1,,,,,1,,,,,,,,,,,,,,,
482,护身戒指(未解封),1779,100000,装备,戒指,,,1,,,,,1,,,,,,,,,,,,,,,
483,改名卡,2376,100000,道具,任务,,9999999,1,,,,,,,,,,,,,,在设置界面中可以改名,,,,,,
484,魂灵,1510,100000,道具,特戒,,9999999,1,,,,,,,,,,,,,,用于合成神之魂,,,,,,
485,战神之魂,1501,100000,道具,特戒,,9999999,1,,,,,,,,,,,,,,赋予特戒攻击天赋,,,,,,
486,法神之魂,1502,100000,道具,特戒,,9999999,1,,,,,,,,,,,,,,赋予特戒魔法天赋,,,,,,
487,道神之魂,1511,100000,道具,特戒,,9999999,1,,,,,,,,,,,,,,赋予特戒道术天赋,,,,,,
488,幻境重置卷,999,100000,消耗,幻境,,9999999,1,,,,,,,,,,,,,,使幻境层数重置,,,,,,
489,周年庆礼包,2652,50000,消耗,宝箱,,9999999,1,,,,,,,,,,,,,,478|10/319|3000/471|10/496|10/,,,,,,
490,中秋节礼包,1030,50000,消耗,宝箱,,9999999,1,,,,,,,,,,,,,,319|3000/472|10/498|1000/510|1/,,,,,,
491,金碎片,2643,10000,消耗,五行,,9999999,1,,,,,,,,,,,,,,金系天赋碎片,31,1,1,,,
492,木碎片,2647,10000,消耗,五行,,9999999,1,,,,,,,,,,,,,,木系天赋碎片,32,1,1,,,
493,水碎片,2645,10000,消耗,五行,,9999999,1,,,,,,,,,,,,,,水系天赋碎片,33,1,1,,,
494,火碎片,2646,10000,消耗,五行,,9999999,1,,,,,,,,,,,,,,火系天赋碎片,34,1,1,,,
495,土碎片,2648,10000,消耗,五行,,9999999,1,,,,,,,,,,,,,,土系天赋碎片,35,1,1,,,
496,五行石,2641,100000,消耗,修炼,,9999999,1,,,,,,,,,,,,,,增加修炼时间24小时,,24,1,,,
497,巅峰证明,2642,100000,道具,任务,,9999999,1,,,,,,,,,,,,,,通往巅峰之路的证明,,,9,,,
498,巅峰矿石,2650,1000,道具,巅峰石,,9999999,1,,,,,,,,,,,,,,打造巅峰装备的材料,,,10,,,
499,桃李满天下,1030,50000,消耗,宝箱,,9999999,1,,,,,,,,,,,,,,319|1000/223|1000/510|1/478|10/,,,,,,
500,定风珠,2649,50000,消耗,巅峰重置,,9999999,1,,,,,,,,,,,,,,可以重置巅峰属性点,,,,,,
501,符文:1#,2621,10000,道具,符文,,9999999,1,,,,,,,,,,,,,,开启神秘的符文之旅,,,,,,
502,符文:2#,2622,20000,道具,符文,,9999999,1,,,,,,,,,,,,,,开启神秘的符文之旅,,,,,,
503,符文:3#,2623,30000,道具,符文,,9999999,1,,,,,,,,,,,,,,开启神秘的符文之旅,,,,,,
504,符文:4#,2624,40000,道具,符文,,9999999,1,,,,,,,,,,,,,,开启神秘的符文之旅,,,,,,
505,符文:5#,2625,50000,道具,符文,,9999999,1,,,,,,,,,,,,,,开启神秘的符文之旅,,,,,,
506,符文:6#,2626,60000,道具,符文,,9999999,1,,,,,,,,,,,,,,开启神秘的符文之旅,,,,,,
507,符文:7#,2627,70000,道具,符文,,9999999,1,,,,,,,,,,,,,,开启神秘的符文之旅,,,,,,
508,符文:8#,2628,80000,道具,符文,,9999999,1,,,,,,,,,,,,,,开启神秘的符文之旅,,,,,,
509,符文:9#,2629,90000,道具,符文,,9999999,1,,,,,,,,,,,,,,开启神秘的符文之旅,,,,,,
510,符文:10#,2630,100000,道具,符文,,9999999,1,,,,,,,,,,,,,,开启神秘的符文之旅,,,,,,
511,符文:11#,2631,110000,道具,符文,,9999999,1,,,,,,,,,,,,,,开启神秘的符文之旅,,,,,,
512,符文:12#,2632,120000,道具,符文,,9999999,1,,,,,,,,,,,,,,开启神秘的符文之旅,,,,,,
513,符文:13#,2633,130000,道具,符文,,9999999,1,,,,,,,,,,,,,,开启神秘的符文之旅,,,,,,
514,符文:14#,2634,140000,道具,符文,,9999999,1,,,,,,,,,,,,,,开启神秘的符文之旅,,,,,,
515,符文:15#,2635,150000,道具,符文,,9999999,1,,,,,,,,,,,,,,开启神秘的符文之旅,,,,,,
516,符文:16#,2636,160000,道具,符文,,9999999,1,,,,,,,,,,,,,,开启神秘的符文之旅,,,,,,
517,符文:17#,2637,170000,道具,符文,,9999999,1,,,,,,,,,,,,,,开启神秘的符文之旅,,,,,,
518,符文:18#,2638,180000,道具,符文,,9999999,1,,,,,,,,,,,,,,开启神秘的符文之旅,,,,,,
519,符文:19#,2639,190000,道具,符文,,9999999,1,,,,,,,,,,,,,,开启神秘的符文之旅,,,,,,
520,空白符文,2640,10000,道具,符文,,9999999,1,,,,,,,,,,,,,,,,,,,,
